steps_per_min,heart_rate_bpm,accelerometer_magnitude,skin_temperature_c,calories_per_min,gyroscope_magnitude,true_activity
4.691,68.01,0.399,36.434,1.415,0.172,Desk Work
0.0,57.972,0.1,36.126,1.024,0.048,Sleeping
13.972,131.209,1.711,36.158,8.039,1.908,Cycling
48.356,145.383,5.121,37.313,10.115,3.133,Gym
104.673,107.7,1.43,36.509,4.548,0.949,Walking
0.998,57.949,0.171,35.844,0.762,0.036,Sleeping
167.013,142.901,2.474,36.851,14.22,2.994,Running
108.429,103.018,1.862,36.889,4.846,0.851,Walking
4.154,70.424,0.184,36.159,2.03,0.1,Desk Work
1.937,67.434,0.43,36.35,1.105,0.084,Desk Work
159.748,129.716,4.941,36.812,7.256,2.365,Running
86.29,89.071,1.283,36.228,4.958,0.924,Walking
1.47,70.122,0.268,36.233,1.683,0.085,Desk Work
46.427,128.458,4.748,37.663,14.242,2.504,Gym
25.67,119.55,2.723,36.685,7.813,1.234,Cycling
166.891,174.722,3.435,36.811,10.967,1.976,Running
12.088,126.603,2.501,37.138,8.165,1.631,Cycling
4.363,74.741,0.263,36.063,1.363,0.247,Desk Work
124.086,153.668,3.39,37.115,11.197,2.932,Running
17.199,103.095,1.817,36.691,10.688,1.799,Cycling
96.909,107.971,1.509,36.245,3.42,0.878,Walking
65.726,160.934,4.091,36.623,11.954,3.852,Gym
105.07,106.805,0.971,36.25,5.076,1.089,Walking
93.484,151.811,4.931,36.36,13.542,2.85,Gym
16.408,132.227,2.376,36.348,7.419,1.748,Cycling
0.841,61.35,0.09,35.763,0.683,0.05,Sleeping
3.66,77.298,0.315,35.82,1.329,0.166,Desk Work
19.566,115.978,1.733,36.861,7.33,2.51,Cycling
0.205,51.043,0.126,35.964,1.279,0.027,Sleeping
2.52,65.289,0.39,36.175,1.121,0.148,Desk Work
95.511,110.016,1.421,36.413,5.74,0.919,Walking
0.172,50.051,0.07,35.843,1.08,0.062,Sleeping
108.523,77.709,1.498,36.171,3.785,0.908,Walking
86.41,96.712,1.427,36.703,2.362,0.939,Walking
74.273,161.92,3.275,36.978,13.297,3.23,Gym
17.556,118.717,3.281,36.246,9.413,1.866,Cycling
152.316,148.921,3.208,36.465,9.963,1.885,Running
128.905,171.984,4.699,36.742,18.119,1.809,Running
0.0,49.842,0.061,36.08,0.893,0.017,Sleeping
0.777,55.967,0.039,35.747,0.842,0.06,Sleeping
173.974,156.254,3.237,36.872,12.403,2.062,Running
4.451,61.892,0.293,36.335,1.447,0.109,Desk Work
155.727,139.324,3.461,36.54,12.014,1.947,Running
147.793,125.947,3.843,36.924,12.205,2.679,Running
166.431,155.172,2.924,36.564,12.92,2.845,Running
0.0,80.73,0.319,36.624,1.565,0.328,Desk Work
2.417,74.372,0.352,35.788,1.437,0.158,Desk Work
3.979,68.349,0.368,36.429,1.293,0.13,Desk Work
0.0,54.237,0.106,36.182,0.84,0.043,Sleeping
33.117,143.902,4.631,36.568,9.833,4.904,Gym
30.472,106.345,2.285,36.49,8.81,1.974,Cycling
82.417,98.761,1.497,36.287,5.525,0.88,Walking
65.447,158.822,5.021,36.768,15.873,3.927,Gym
103.357,98.184,1.042,36.6,3.577,0.834,Walking
82.149,90.536,2.262,36.308,4.795,0.897,Walking
100.855,97.979,1.762,36.183,4.896,0.842,Walking
3.041,72.166,0.349,36.415,1.681,0.19,Desk Work
31.264,127.21,1.546,36.609,7.359,2.073,Cycling
0.0,65.293,0.094,36.199,0.949,0.038,Sleeping
17.18,153.819,1.927,36.351,10.378,1.852,Cycling
0.0,69.25,0.379,36.29,1.957,0.25,Desk Work
76.143,188.482,3.307,37.396,8.401,3.008,Gym
0.0,45.357,0.165,35.865,0.633,0.042,Sleeping
13.752,129.722,1.447,36.95,8.495,1.616,Cycling
87.627,157.184,4.344,36.709,12.294,3.111,Gym
100.464,92.111,0.921,36.303,4.667,0.779,Walking
76.343,102.264,1.631,36.504,2.4,0.89,Walking
1.805,73.111,0.502,35.976,1.603,0.168,Desk Work
78.507,96.45,3.637,36.252,13.027,4.263,Gym
0.0,55.515,0.067,35.878,0.925,0.023,Sleeping
0.0,89.768,0.296,36.052,1.467,0.154,Desk Work
15.42,123.316,1.111,36.423,10.449,1.461,Cycling
2.421,55.54,0.006,35.865,0.917,0.035,Sleeping
1.981,71.39,0.309,35.753,1.76,0.224,Desk Work
1.161,70.222,0.12,36.242,1.581,0.144,Desk Work
133.376,139.126,3.578,36.977,11.332,3.198,Running
22.942,128.09,1.879,36.576,6.983,1.307,Cycling
0.0,50.907,0.043,36.403,0.837,0.047,Sleeping
29.614,121.717,1.681,36.638,10.789,1.866,Cycling
85.296,106.968,1.047,36.014,4.517,0.945,Walking
93.916,94.628,1.737,36.131,5.743,0.534,Walking
172.308,148.783,4.432,36.827,13.749,2.143,Running
176.279,146.059,3.533,36.934,10.365,1.894,Running
0.0,52.776,0.05,35.703,0.785,0.064,Sleeping
121.866,104.74,1.614,36.124,5.074,0.71,Walking
0.427,50.063,0.038,35.848,0.799,0.064,Sleeping
87.914,146.711,4.573,36.743,13.395,2.535,Gym
16.268,153.775,1.841,36.873,9.648,1.495,Cycling
1.094,57.785,0.127,36.07,0.786,0.03,Sleeping
149.177,159.183,3.855,36.697,13.382,3.041,Running
1.074,60.192,0.034,36.155,1.066,0.042,Sleeping
1.249,83.131,0.328,36.403,1.605,0.07,Desk Work
0.866,70.027,0.232,36.003,1.082,0.2,Desk Work
83.448,94.568,1.839,36.407,3.878,0.696,Walking
86.893,131.985,5.029,37.268,15.199,3.902,Gym
2.901,77.148,0.333,36.178,1.898,0.105,Desk Work
1.107,63.562,0.082,35.923,1.168,0.068,Sleeping
72.812,171.809,3.96,36.852,11.166,3.714,Gym
88.178,154.62,3.778,36.579,12.442,3.002,Gym
0.121,57.559,0.165,35.907,0.575,0.007,Sleeping
0.0,61.465,0.127,35.974,1.114,0.088,Sleeping
145.617,158.625,2.675,37.08,10.736,3.029,Running
96.643,115.503,5.162,36.953,11.575,3.159,Gym
95.41,102.809,2.068,35.9,5.81,0.8,Walking
0.295,53.885,0.063,36.124,0.885,0.07,Sleeping
155.689,114.907,4.173,36.657,11.915,1.774,Running
106.696,94.487,1.361,36.223,4.83,0.578,Walking
84.612,81.598,2.099,36.154,3.738,0.716,Walking
174.033,173.394,4.005,37.078,9.579,2.479,Running
81.999,168.073,4.274,36.42,14.861,2.945,Gym
147.499,176.811,3.25,36.565,13.266,1.794,Running
3.287,81.109,0.35,36.134,2.202,0.147,Desk Work
21.699,142.611,2.202,36.726,10.222,1.921,Cycling
1.646,53.035,0.094,35.615,1.141,0.063,Sleeping
174.844,175.451,3.642,36.865,14.079,3.068,Running
0.0,58.476,0.014,36.003,0.897,0.049,Sleeping
1.585,75.176,0.373,36.246,1.249,0.134,Desk Work
0.414,53.269,0.043,35.793,0.91,0.048,Sleeping
36.432,97.399,2.194,36.049,9.068,2.504,Cycling
44.026,164.411,2.301,37.307,13.199,2.692,Gym
99.966,115.304,1.43,36.764,4.834,0.894,Walking
2.219,73.978,0.389,36.337,1.413,0.156,Desk Work
58.34,115.681,4.624,37.354,18.842,3.317,Gym
1.345,80.825,0.365,36.339,1.223,0.233,Desk Work
0.0,47.642,0.104,35.978,1.465,0.043,Sleeping
117.985,92.322,1.128,36.19,6.649,0.717,Walking
105.39,80.341,0.915,36.426,6.674,0.674,Walking
0.067,62.192,0.103,35.831,0.807,0.021,Sleeping
0.948,80.151,0.099,36.477,1.467,0.145,Desk Work
72.322,142.454,4.805,36.276,15.541,4.099,Gym
21.505,144.8,2.09,36.584,10.434,1.434,Cycling
117.043,85.634,1.659,36.584,4.683,0.562,Walking
69.801,106.268,1.893,36.079,3.653,0.761,Walking
88.493,166.265,6.025,37.585,16.97,3.475,Gym
0.202,57.321,0.111,36.042,0.79,0.041,Sleeping
133.649,162.183,4.156,36.258,12.786,2.279,Running
158.804,121.223,2.735,36.153,10.476,2.108,Running
0.0,52.973,0.049,35.999,0.951,0.062,Sleeping
66.798,152.538,4.605,36.68,9.454,3.406,Gym
23.352,124.838,2.469,35.847,8.317,0.567,Cycling
93.521,152.524,4.617,36.955,15.541,3.38,Gym
0.0,52.587,0.279,36.041,1.816,0.149,Desk Work
22.805,110.376,1.485,36.522,9.096,1.552,Cycling
157.682,145.705,4.191,36.993,11.129,2.119,Running
0.0,67.901,0.487,36.088,1.374,0.176,Desk Work
95.307,132.844,4.897,37.204,7.859,3.432,Gym
19.816,131.449,2.235,36.624,4.321,1.842,Cycling
107.314,99.414,1.202,36.532,3.438,0.761,Walking
50.499,172.504,4.898,37.21,12.433,3.595,Gym
3.571,70.418,0.42,36.295,1.912,0.143,Desk Work
0.0,58.305,0.153,35.976,0.91,0.07,Sleeping
99.735,114.138,1.553,36.163,4.368,1.351,Walking
144.207,185.904,4.049,36.646,11.648,2.758,Running
0.596,68.597,0.445,35.887,1.348,0.167,Desk Work
2.015,51.966,0.378,36.182,1.474,0.218,Desk Work
163.625,177.274,3.518,36.607,13.639,1.613,Running
85.609,197.521,3.62,37.214,15.161,2.489,Gym
82.683,90.539,1.357,35.994,5.961,0.761,Walking
0.0,49.565,0.146,35.932,1.013,0.032,Sleeping
0.0,63.556,0.128,36.043,1.137,0.018,Sleeping
99.23,94.468,1.377,36.577,5.414,0.635,Walking
0.508,55.648,0.073,36.152,0.821,0.045,Sleeping
4.526,64.345,0.271,36.154,1.405,0.119,Desk Work
94.821,132.159,3.92,37.641,13.211,4.005,Gym
22.431,123.228,2.362,36.628,7.974,1.801,Cycling
0.0,62.104,0.057,35.903,0.988,0.051,Sleeping
99.789,115.371,1.733,36.336,4.034,0.843,Walking
20.993,140.857,1.364,36.373,8.743,1.593,Cycling
1.298,70.905,0.259,35.942,1.946,0.239,Desk Work
0.0,65.46,0.008,35.984,0.922,0.015,Sleeping
0.0,51.341,0.153,36.181,0.901,0.046,Sleeping
130.104,166.344,3.691,36.983,12.557,2.747,Running
146.418,151.983,3.317,36.477,14.464,2.796,Running
98.607,82.29,1.64,36.184,4.088,0.77,Walking
14.385,118.078,2.034,36.522,10.531,1.487,Cycling
155.551,172.363,3.905,36.722,12.135,2.932,Running
86.046,67.612,1.833,36.17,4.124,0.78,Walking
102.195,80.288,0.906,36.364,2.814,0.741,Walking
2.834,86.826,0.191,36.539,1.468,0.109,Desk Work
1.486,70.079,0.369,36.278,1.694,0.186,Desk Work
81.085,130.725,4.674,37.022,13.345,3.86,Gym
99.122,172.213,5.446,37.228,15.214,3.706,Gym
87.418,88.225,1.589,36.24,6.851,0.837,Walking
2.79,83.381,0.38,36.11,1.95,0.146,Desk Work
161.954,141.187,3.612,37.072,7.802,3.836,Running
0.0,50.606,0.155,36.185,0.978,0.023,Sleeping
144.648,153.557,3.42,36.472,11.57,2.667,Running
17.774,136.109,2.724,35.768,8.638,1.544,Cycling
155.54,150.925,2.662,36.884,15.776,1.803,Running
20.026,130.859,2.24,36.871,9.447,1.73,Cycling
99.574,125.922,3.872,37.413,15.725,2.352,Gym
0.0,52.287,0.081,35.738,0.975,0.07,Sleeping
104.794,147.977,4.892,37.112,11.744,3.343,Gym
0.0,59.394,0.361,36.249,1.091,0.066,Desk Work
15.552,120.879,2.534,36.537,9.332,1.551,Cycling
90.914,174.367,4.637,36.15,13.113,3.394,Gym
67.456,142.411,4.024,36.649,15.189,2.52,Gym
82.433,97.577,1.537,36.811,4.124,0.759,Walking
146.847,183.576,3.468,37.077,13.177,3.057,Running
76.49,89.142,0.994,36.441,4.817,0.701,Walking
0.0,52.933,0.151,35.773,1.154,0.045,Sleeping
17.039,117.65,1.777,36.542,9.742,2.192,Cycling
0.0,53.765,0.14,36.398,1.662,0.222,Desk Work
1.159,65.946,0.452,36.273,1.468,0.159,Desk Work
60.837,150.926,4.32,35.821,12.594,3.135,Gym
59.329,119.887,4.077,36.932,15.558,3.394,Gym
3.16,78.974,0.368,36.372,1.849,0.128,Desk Work
148.308,134.028,3.531,37.009,13.023,2.866,Running
3.726,81.602,0.315,36.068,1.43,0.071,Desk Work
24.398,132.17,2.005,36.417,10.258,2.233,Cycling
0.0,55.98,0.015,36.009,0.704,0.079,Sleeping
0.873,53.66,0.01,36.107,0.984,0.06,Sleeping
176.027,144.318,3.112,36.867,14.158,2.327,Running
106.611,93.527,1.469,36.372,4.629,1.03,Walking
57.368,146.639,4.693,36.31,14.743,4.389,Gym
20.065,137.364,2.651,36.539,8.726,1.25,Cycling
0.474,63.448,0.11,36.099,1.351,0.074,Sleeping
0.319,59.794,0.137,36.036,0.996,0.022,Sleeping
114.476,87.232,1.385,36.372,5.214,0.549,Walking
169.469,152.387,4.558,36.869,11.194,2.033,Running
0.163,77.201,0.258,36.551,1.653,0.127,Desk Work
8.012,125.088,2.738,37.192,10.187,1.67,Cycling
167.457,135.248,3.987,36.442,13.168,2.885,Running
17.018,126.777,2.08,36.576,7.188,1.491,Cycling
0.0,46.512,0.147,36.318,1.209,0.039,Sleeping
150.186,167.085,3.804,36.529,14.393,2.358,Running
21.641,116.583,1.931,36.556,8.306,2.464,Cycling
4.493,95.066,0.168,36.039,1.52,0.147,Desk Work
92.352,94.459,1.103,36.429,4.281,0.771,Walking
153.12,154.096,3.452,37.037,9.485,3.532,Running
3.637,73.986,0.291,36.075,1.828,0.105,Desk Work
97.177,86.296,1.801,36.416,5.555,0.866,Walking
101.69,153.583,4.025,37.75,13.363,2.81,Gym
174.741,167.825,3.546,36.439,13.679,2.368,Running
0.0,44.23,0.011,36.195,0.641,0.059,Sleeping
10.115,135.072,2.484,36.83,8.608,1.959,Cycling
138.143,180.018,3.402,36.71,13.082,2.048,Running
88.276,78.182,1.867,36.505,3.607,0.436,Walking
156.642,147.781,3.691,36.804,10.631,3.213,Running
173.503,140.223,3.274,37.56,12.057,3.191,Running
167.985,148.825,4.164,37.058,16.214,2.868,Running
10.455,152.49,1.598,36.639,11.302,1.308,Cycling
0.0,50.274,0.13,35.78,0.953,0.081,Sleeping
155.085,145.579,4.484,37.277,8.286,3.008,Running
0.0,57.094,0.091,35.626,1.202,0.064,Sleeping
100.637,103.998,0.837,36.128,4.442,0.869,Walking
168.348,169.44,3.491,36.986,13.51,1.908,Running
6.705,71.303,0.31,36.045,1.819,0.207,Desk Work
0.731,63.844,0.055,36.163,0.878,0.031,Sleeping
170.962,183.233,4.339,36.858,11.259,2.642,Running
6.036,67.989,0.31,36.439,1.249,0.202,Desk Work
95.815,132.587,4.644,36.355,15.317,2.962,Gym
26.006,117.304,1.748,36.58,7.971,2.237,Cycling
81.497,84.667,2.186,36.375,5.507,0.714,Walking
1.678,59.748,0.319,35.986,1.56,0.125,Desk Work
92.865,88.115,1.797,36.164,5.951,0.394,Walking
68.545,100.016,4.735,38.02,8.493,4.544,Gym
2.808,61.581,0.143,36.264,1.378,0.228,Desk Work
0.0,61.153,0.14,35.812,1.049,0.016,Sleeping
161.75,149.94,4.322,36.407,13.639,2.6,Running
75.186,150.026,5.376,37.498,18.15,2.539,Gym
27.54,135.611,2.014,36.597,10.185,2.25,Cycling
173.428,164.211,3.553,36.533,9.187,3.161,Running
1.104,53.693,0.143,35.977,1.209,0.043,Sleeping
98.753,86.5,1.622,36.045,5.444,1.146,Walking
2.823,54.784,0.085,36.109,0.894,0.053,Sleeping
101.915,89.361,1.367,36.557,4.255,0.912,Walking
98.21,95.976,1.733,36.275,3.545,0.894,Walking
79.96,90.739,1.4,36.544,5.833,0.85,Walking
168.226,148.824,3.341,36.535,16.063,2.745,Running
0.666,62.852,0.25,36.132,1.732,0.15,Desk Work
44.958,134.362,2.707,37.2,18.161,3.196,Gym
0.0,60.955,0.068,36.228,1.141,0.034,Sleeping
148.846,151.163,3.218,37.644,8.357,2.515,Running
147.315,161.168,2.92,36.874,12.252,2.028,Running
166.521,160.049,4.95,36.652,12.536,2.176,Running
0.0,62.107,0.06,35.85,1.164,0.076,Sleeping
0.0,52.203,0.15,35.91,1.278,0.027,Sleeping
21.626,130.711,1.679,36.561,7.016,2.281,Cycling
180.043,143.57,3.127,36.951,10.431,2.67,Running
0.0,54.807,0.03,35.975,1.286,0.028,Sleeping
0.424,50.601,0.19,35.876,0.82,0.028,Sleeping
0.648,59.68,0.065,35.939,1.056,0.043,Sleeping
91.821,165.123,5.432,36.53,13.78,3.43,Gym
31.253,158.226,2.57,36.729,9.831,1.747,Cycling
0.248,54.643,0.094,35.733,1.152,0.05,Sleeping
5.944,76.271,0.265,35.927,1.29,0.12,Desk Work
162.288,146.634,3.789,36.989,9.936,2.639,Running
97.964,109.315,1.668,36.358,5.205,0.583,Walking
17.034,126.362,2.828,36.383,8.517,1.457,Cycling
137.938,159.172,4.006,36.395,11.65,2.237,Running
10.617,148.658,2.325,36.86,8.181,1.967,Cycling
1.085,87.418,0.216,36.476,1.61,0.099,Desk Work
87.401,97.157,1.042,36.238,3.294,0.743,Walking
128.411,126.296,4.622,36.789,14.508,3.284,Gym
151.67,156.26,4.03,36.914,9.142,3.306,Running
0.0,60.146,0.083,35.775,0.979,0.024,Sleeping
0.615,89.574,0.234,35.956,1.058,0.222,Desk Work
0.792,57.912,0.19,36.037,0.864,0.055,Sleeping
94.219,100.012,1.588,36.723,6.458,1.083,Walking
155.873,141.964,4.187,36.749,13.992,2.279,Running
0.0,66.509,0.404,36.06,1.718,0.134,Desk Work
96.641,99.311,1.202,36.472,5.795,0.776,Walking
110.376,94.988,1.856,36.525,3.152,0.836,Walking
0.0,58.599,0.018,35.934,0.814,0.037,Sleeping
66.463,101.088,1.91,36.7,4.227,0.802,Walking
79.238,141.461,5.103,37.593,15.311,3.057,Gym
156.199,155.218,4.136,37.044,11.736,2.367,Running
32.224,125.734,2.26,36.032,9.308,1.554,Cycling
4.388,76.624,0.289,36.18,1.285,0.166,Desk Work
72.864,140.446,4.371,37.705,13.765,1.874,Gym
22.548,116.2,1.695,36.109,7.314,1.986,Cycling
0.0,53.214,0.157,35.978,1.068,0.067,Sleeping
91.176,90.281,1.597,36.193,6.098,0.855,Walking
150.178,180.935,3.043,36.729,16.546,3.032,Running
1.085,54.261,0.071,36.17,1.164,0.063,Sleeping
77.797,122.552,5.352,37.497,13.217,3.261,Gym
77.225,144.332,4.717,37.117,15.44,3.749,Gym
21.655,114.442,2.44,36.569,7.572,1.239,Cycling
25.64,109.548,2.222,36.073,8.51,2.288,Cycling
3.492,74.173,0.362,36.264,2.125,0.102,Desk Work
139.478,138.764,3.968,36.558,12.619,2.321,Running
160.99,133.644,3.707,36.882,8.594,2.289,Running
94.758,162.637,3.622,36.795,13.138,1.992,Gym
177.569,156.788,3.683,36.557,8.531,2.583,Running
87.536,79.433,1.547,36.815,5.603,0.829,Walking
98.231,148.831,5.706,37.065,13.873,2.994,Gym
158.034,147.495,3.873,36.414,13.941,2.33,Running
95.739,80.328,1.394,36.316,4.149,1.605,Walking
0.091,61.737,0.334,36.48,1.338,0.203,Desk Work
2.187,69.836,0.277,35.961,2.152,0.069,Desk Work
1.259,81.683,0.196,35.86,1.269,0.144,Desk Work
1.716,51.598,0.106,35.943,1.384,0.027,Sleeping
0.0,83.146,0.259,36.2,1.675,0.064,Desk Work
59.363,163.888,5.84,36.218,16.315,2.873,Gym
33.313,130.504,1.612,36.838,7.103,1.986,Cycling
94.369,100.855,1.594,36.171,4.867,0.891,Walking
2.577,81.813,0.495,36.269,1.075,0.181,Desk Work
101.604,101.146,1.575,36.392,4.775,0.757,Walking
0.882,61.272,0.091,35.987,1.091,0.026,Sleeping
102.047,84.125,0.668,36.359,3.877,0.908,Walking
91.148,100.806,1.509,36.778,4.915,1.112,Walking
144.064,182.561,3.176,36.502,13.329,2.955,Running
140.831,155.181,3.788,36.398,11.854,2.888,Running
1.57,46.545,0.037,36.308,1.112,0.075,Sleeping
0.0,68.036,0.107,35.933,1.357,0.029,Sleeping
113.724,122.313,1.422,36.581,4.193,0.893,Walking
98.401,77.744,1.52,36.386,4.471,0.828,Walking
0.0,44.719,0.113,36.092,0.935,0.041,Sleeping
101.565,84.117,2.271,36.372,5.177,0.634,Walking
89.331,77.592,1.334,36.153,6.344,0.806,Walking
20.371,129.983,1.896,36.494,7.851,1.936,Cycling
137.767,136.478,3.944,37.037,10.731,1.402,Running
82.89,101.997,0.965,36.353,4.515,0.891,Walking
97.2,84.973,1.788,36.268,5.488,0.593,Walking
2.752,86.634,0.344,36.054,2.207,0.107,Desk Work
22.248,153.692,1.712,36.844,8.802,0.892,Cycling
0.272,52.981,0.093,36.03,1.153,0.027,Sleeping
28.525,145.58,2.384,36.55,8.972,2.138,Cycling
188.153,153.236,4.261,36.019,14.932,2.469,Running
1.997,71.227,0.616,36.572,2.378,0.14,Desk Work
5.553,121.148,1.782,36.135,9.871,1.986,Cycling
79.065,101.266,1.67,36.052,4.594,1.117,Walking
172.699,161.777,3.438,37.019,11.213,2.71,Running
83.922,100.702,1.406,36.255,4.58,0.568,Walking
105.413,92.818,1.645,36.38,4.201,0.826,Walking
97.713,87.288,1.269,36.44,5.111,0.846,Walking
85.291,92.42,1.359,36.577,5.184,0.874,Walking
0.0,60.092,0.17,35.861,0.968,0.002,Sleeping
0.65,51.932,0.138,36.062,1.187,0.036,Sleeping
0.308,44.045,0.048,35.979,0.958,0.029,Sleeping
93.412,108.935,1.331,36.381,4.978,0.706,Walking
157.13,116.529,4.097,36.871,12.032,2.077,Running
107.877,153.114,4.419,37.284,18.641,1.887,Gym
163.28,152.87,3.834,36.189,17.207,2.313,Running
93.872,116.535,1.306,36.919,6.862,0.927,Walking
31.762,161.004,4.783,36.418,9.652,2.19,Gym
176.594,168.413,3.718,36.724,12.68,2.782,Running
0.0,49.763,0.091,35.774,0.924,0.055,Sleeping
12.682,136.168,1.593,36.733,10.79,2.027,Cycling
24.797,123.077,2.629,37.014,7.736,1.541,Cycling
79.745,90.218,1.553,36.366,5.194,0.896,Walking
25.243,142.742,3.016,36.73,8.802,2.25,Cycling
203.708,121.291,3.693,36.56,13.262,3.486,Running
0.328,75.234,0.509,35.911,1.739,0.133,Desk Work
0.0,76.224,0.353,35.88,1.643,0.166,Desk Work
185.985,138.856,3.866,36.863,11.773,2.278,Running
162.331,134.867,3.157,37.089,11.201,1.125,Running
0.0,69.827,0.223,36.334,1.381,0.125,Desk Work
1.074,48.451,0.043,36.204,1.034,0.064,Sleeping
0.0,74.299,0.095,36.22,1.926,0.135,Desk Work
168.793,149.865,3.576,37.107,9.622,2.585,Running
0.0,53.777,0.078,36.094,1.166,0.047,Sleeping
0.374,57.533,0.087,36.007,0.744,0.048,Sleeping
33.116,124.089,2.053,36.718,8.765,1.937,Cycling
0.0,64.68,0.159,36.294,1.772,0.155,Desk Work
147.806,156.486,3.284,36.686,11.909,2.301,Running
102.48,124.659,3.592,37.372,18.202,4.47,Gym
111.345,131.46,5.543,36.521,18.759,3.974,Gym
45.17,161.748,5.765,37.474,21.458,2.908,Gym
25.951,132.275,1.477,36.165,8.438,1.47,Cycling
71.69,150.264,3.706,37.397,18.185,2.323,Gym
1.624,61.678,0.07,36.104,0.813,0.065,Sleeping
84.123,86.02,1.496,36.246,5.56,1.31,Walking
0.815,49.428,0.114,36.035,1.285,0.031,Sleeping
0.512,71.032,0.341,35.956,1.192,0.169,Desk Work
0.0,48.379,0.199,35.975,1.219,0.047,Sleeping
82.583,111.009,1.559,36.722,6.791,1.118,Walking
0.0,48.504,0.073,36.116,1.13,0.038,Sleeping
165.123,147.654,4.055,36.433,8.204,2.478,Running
74.257,155.745,4.769,37.041,13.935,2.945,Gym
74.411,120.207,1.207,36.41,6.579,0.554,Walking
99.841,90.679,1.652,36.276,4.824,0.875,Walking
21.195,124.637,2.011,37.514,9.665,2.536,Cycling
0.0,57.827,0.127,36.197,0.908,0.027,Sleeping
82.809,165.853,3.286,37.151,13.078,2.298,Gym
115.131,85.529,1.63,36.335,4.487,0.697,Walking
101.351,141.595,4.4,37.544,16.034,3.368,Gym
163.941,154.58,4.653,36.525,12.908,2.3,Running
21.169,134.368,2.305,36.517,8.24,1.726,Cycling
21.859,140.728,2.109,36.318,7.336,1.669,Cycling
