x_coord,y_coord,defect_density,particle_size_um,electrical_fail_rate,distance_from_center,true_pattern
0.525,0.528,0.3758770624405796,1.417197063353817,0.48063048481788984,0.745,Local Cluster
0.949,-0.144,0.8497577480211009,0.9830978395521607,0.7097105729592413,0.96,Edge Ring
-0.202,0.53,0.02749060731415145,0.5646333231450281,0.05769733867370402,0.567,Random
-0.635,-0.266,0.08953661281662464,0.7452831884288164,0.03189820311878301,0.688,Random
-0.002,0.015,0.8489811465744953,1.8836172564247908,0.6944567353952701,0.015,Center Spot
-0.258,-0.083,0.09613481066597374,0.4345948558460333,0.07954726874863519,0.271,Random
0.074,-0.095,0.12005979247516704,0.4269135625421869,0.04685796790817709,0.12,Random
-0.054,-0.156,0.0008798597254174342,0.36979953072312965,0.024499630061441742,0.165,Random
-0.06,-0.395,0.1406846183857549,0.22816565540871647,0.0038373659064372986,0.399,Random
-0.326,0.175,0.180977268045552,0.2863587155805548,0.0911604409156636,0.37,Random
0.263,0.46,0.8112517532292594,1.3530382778847267,0.5026605855901249,0.53,Local Cluster
-0.45,-0.889,0.7210581466837398,0.7098829623139484,0.6938173273773356,0.997,Edge Ring
0.162,0.179,0.8361491858960791,1.1245043970884347,0.5798842813674512,0.242,Center Spot
-0.845,0.24,0.6196612624863246,0.8142051289892249,0.6142094099567144,0.879,Edge Ring
0.255,-0.45,0.052858860035031256,0.47374615667012404,0.12433931771352047,0.517,Random
0.107,-0.107,0.01855271315901616,0.5416519346800771,0.007775525227793219,0.151,Random
-0.465,-0.033,0.5470714038878576,1.1055676687342912,0.6466193996838081,0.466,Donut
0.729,0.521,0.7092622872862906,1.9747644673359144,0.5531749462231526,0.897,Local Cluster
0.935,0.211,0.888582068123161,0.7420768990015585,0.6723363852144625,0.958,Edge Ring
0.453,0.486,0.6349802576517292,1.7997525945806365,0.7200847546511379,0.664,Local Cluster
0.629,0.624,0.7250030166641026,0.963648655280972,0.5971804095107618,0.886,Local Cluster
0.088,-0.314,0.037457788420970875,0.534127682822559,0.03154125688692574,0.326,Random
-0.947,0.285,0.47224863427230235,1.087691616260031,0.6427515163474447,0.989,Edge Ring
0.631,0.662,0.6522084631617573,1.5165171636350028,0.660165409660239,0.914,Local Cluster
0.419,0.612,0.422413804132456,1.4133827245174468,0.7524872746628797,0.741,Local Cluster
0.48,0.602,0.6847356030450052,1.0143451035449107,0.4143113742179654,0.77,Local Cluster
-0.145,0.079,0.018163636598489862,0.4705611217714266,0.011366978086777668,0.165,Random
-0.028,-0.076,0.7527799225807047,1.9015491504758941,0.7029483774098338,0.081,Center Spot
-0.079,-0.176,0.7884505526404721,1.6127446070607279,0.7471702226823076,0.193,Center Spot
-0.875,-0.048,0.629228557306952,0.9803695299342845,0.571440780494658,0.877,Edge Ring
0.093,-0.954,0.02368730719076458,0.2562029439131906,0.0037099672712952144,0.958,Random
-0.121,0.171,0.09024265849380575,0.5768205267313844,0.03206428451203721,0.21,Random
-0.176,-0.311,0.017243799694761256,0.6286991177315618,0.012660826010478335,0.358,Random
0.712,0.337,0.006695303801203411,0.546699682858855,0.04140714655653657,0.788,Random
0.523,0.394,0.0009146986550937411,0.4276025034438788,0.07387543393776752,0.655,Random
0.02,-0.185,0.02955902780504519,0.4322716922541499,0.010799054482314822,0.186,Random
0.934,-0.357,0.5578657755790783,0.9801341363541408,0.7537715504954259,1.0,Edge Ring
0.108,-0.081,0.023782821182998407,0.4514445961568622,0.012088247420210758,0.135,Random
-0.401,-0.262,0.004349408566639547,0.42384319906323464,0.0025760457847801878,0.479,Random
0.512,-0.778,0.6833639421818103,1.0113783366439373,0.8303969480425631,0.931,Edge Ring
0.45,0.35,0.6653354560463206,1.2813084429345232,0.6301690796631505,0.57,Local Cluster
-0.451,0.311,0.07058120711740554,0.6122068950627961,0.010679156921485146,0.548,Random
-0.146,-0.009,0.07890900531790605,0.3295336336191187,0.012470101772290132,0.146,Random
-0.468,-0.089,0.11596085769776929,0.5387500951203144,0.01376412756103305,0.477,Random
-0.413,0.022,0.1466619791331089,0.5330817022916521,0.0050137880942250045,0.413,Random
-0.002,0.008,0.7657486441843016,0.9894093305542404,0.6930743982883143,0.008,Center Spot
0.437,0.329,0.7382924973979013,0.7072044903423902,0.4701833683667589,0.547,Local Cluster
-0.442,0.875,0.6918075806993268,0.7963271465539769,0.7461199115206673,0.98,Edge Ring
0.146,0.188,0.8323647072598457,1.138023081521442,0.6469596671595446,0.238,Center Spot
-0.504,0.84,0.0919331613735997,0.6696980691609108,0.01591842489036939,0.98,Random
-0.28,-0.108,0.5084843873800546,2.4370484829996792,0.5383628584785698,0.3,Scratch
0.389,0.561,0.6686690415350195,1.1699815282164494,0.6131320366155247,0.682,Local Cluster
-0.053,0.03,0.03529491512127979,0.320206248944774,0.0038411826153602006,0.06,Random
0.717,0.771,0.7789561513442862,1.2582208719599954,0.5399115496769614,1.053,Local Cluster
0.909,0.351,0.7718302085534707,1.0120170480397528,0.7354850889496228,0.974,Edge Ring
-0.958,-0.089,0.02750982348110284,0.4073179451449397,0.03969609613542064,0.962,Random
0.235,-0.442,0.4994250502194862,1.282957566444596,0.4018089844011196,0.501,Donut
0.464,-0.13,0.4637743138024255,1.350741444372769,0.2266009129765228,0.481,Donut
-0.697,0.673,0.7903604497108313,0.9867113472348095,0.61875111920719,0.969,Edge Ring
0.077,-0.078,0.06151831367407575,0.5999463241464009,0.03471435644158055,0.109,Random
0.593,0.219,0.5983759831510261,2.7564092437842063,0.6750817315903618,0.632,Scratch
0.564,0.337,0.6341373521967362,1.3851096208787745,0.4444460471885603,0.657,Local Cluster
-0.166,0.981,0.8239175087157973,0.8627891806754564,0.5869391195731071,0.995,Edge Ring
0.46,0.312,0.014117647772535592,0.4492937743306772,0.02526304593738811,0.556,Random
0.015,-0.971,0.7882254111100093,0.6331799856189997,0.8458062140676151,0.971,Edge Ring
0.4,0.066,0.013812729770876473,0.47272352049806415,0.03655602409482621,0.405,Random
0.446,0.173,0.5087972140441378,1.022921508797271,0.38842847558185595,0.479,Donut
0.081,-0.518,0.3,0.9721958585790075,0.4291250706873774,0.524,Donut
0.484,0.31,0.49464169436128025,0.9075332483524319,0.2964297019553753,0.574,Donut
0.789,0.145,0.09240037113664204,0.30885935505368967,0.054452719433885834,0.803,Random
0.684,0.55,0.15315237100004853,0.1,0.1837634902771812,0.878,Random
-0.412,-0.172,0.09609752484390201,0.4269623694769512,0.015674647901708375,0.446,Random
-0.171,0.038,0.25723064389774963,0.7712892544377612,0.05885481071786917,0.175,Random
0.001,-0.006,0.07870089362134121,0.45537565770152116,0.06507682874662479,0.006,Random
-0.127,0.117,0.015365617567675013,0.46369547284012724,0.17917871864502732,0.173,Random
0.164,0.18,0.6828823243188168,1.2633806182447733,0.4860228874081861,0.243,Center Spot
-0.377,-0.63,0.025305225637291158,0.6913165359675225,0.03905225367330084,0.734,Random
-0.189,0.007,0.6064550240645721,2.154940283847264,0.5654031940827602,0.189,Scratch
0.657,0.51,0.7358789501915176,1.0384408588631557,0.5965085609077173,0.832,Local Cluster
0.879,0.125,0.7333270136249951,0.9545235395118088,0.6641803683737441,0.888,Edge Ring
0.752,0.535,0.8300398551453432,1.1229149083476733,0.6498763541852451,0.923,Local Cluster
-0.513,-0.368,0.5998748369965006,1.041746160319914,0.5332317266680199,0.631,Donut
-0.809,-0.326,0.7425433853948115,0.7653680143437765,0.5635951740539629,0.872,Edge Ring
-0.183,0.164,0.8640553747916112,1.0710123520148584,0.7451403212052146,0.245,Center Spot
0.63,0.34,0.632664805943655,1.174976424794763,0.4647622992312433,0.716,Local Cluster
0.717,0.674,0.057515489906954834,0.7748914403569591,0.08640475908035948,0.984,Random
-0.504,-0.798,0.013531533355754584,0.9797502057433597,0.01369499201748143,0.944,Random
-0.109,-0.008,0.7190973215494054,1.6265316938189227,0.8148394378535926,0.11,Center Spot
-0.117,0.084,0.9041806131079908,2.2467060360356825,0.6306771639675414,0.144,Center Spot
0.599,-0.088,0.6169200478824869,0.7967067911423464,0.33075512849268207,0.606,Donut
0.627,0.444,0.7545854320616844,1.4368380207878229,0.6127954443262906,0.768,Local Cluster
0.577,0.1,0.05123531798629308,0.45250252115908984,0.007657900665835802,0.586,Random
-0.732,0.307,0.08380256391358837,0.35738939902612854,0.011401110594362447,0.793,Random
0.512,0.47,0.6997288938916031,1.3401917826136953,0.4522317703219938,0.695,Local Cluster
0.309,0.502,0.16275727970219955,0.7152172582407293,0.2,0.59,Random
-0.061,-0.0,0.04337271380072615,0.5107653217199176,0.0588034326803352,0.061,Random
0.47,0.867,0.7419995605161933,0.82128822465408,0.6274288719189979,0.986,Edge Ring
-0.205,0.09,0.05499261622678127,0.6282644940048279,0.0004793581827257456,0.224,Random
0.083,-0.03,0.07305262535675727,0.6614255276669074,0.2,0.088,Random
-0.015,-0.936,0.6800238706834518,0.6331570166510444,0.45986284951591855,0.936,Edge Ring
-0.228,-0.396,0.002383083037739509,0.11354805383567462,0.2,0.457,Random
-0.866,0.042,0.03085749342933776,0.279831825219893,0.11418756030360433,0.867,Random
0.371,0.071,0.3,0.49247273264562375,0.015111313986411008,0.377,Random
0.005,-0.018,0.8432172310651748,1.3641651445182403,0.6143104973179949,0.018,Center Spot
0.138,-0.746,0.08623557787917116,0.5032994350764901,0.052968323095032965,0.759,Random
0.697,0.618,0.5401481236707819,0.6394152841130369,0.7397856719525966,0.932,Edge Ring
-0.001,-0.002,0.01962450844445048,0.12971857682800736,0.01672990821570343,0.002,Random
-0.373,-0.869,0.6214791806806361,1.0508944198814643,0.6428024268770195,0.945,Edge Ring
0.666,-0.064,0.5152797961290377,0.9675119838108551,0.4912543249186521,0.669,Donut
-0.799,0.414,0.7784084607749342,1.0742810829547207,0.5622232584264036,0.9,Edge Ring
0.611,0.483,0.7303726846638999,1.4881115014887007,0.6562849707580548,0.779,Local Cluster
0.597,0.42,0.9109012403865444,0.8862953611907501,0.6480889484458326,0.73,Local Cluster
0.606,0.203,0.6029393520299596,0.7544466230971754,0.4103070599257225,0.639,Donut
-0.773,-0.527,0.03241008237808576,0.48794741785068135,0.001200554096434791,0.935,Random
0.0,0.001,0.08031475139500112,0.5011682718689839,0.03907832682945484,0.001,Random
0.058,-0.038,0.8843135588255637,1.2319955189952383,0.8682171571688176,0.069,Center Spot
0.05,0.222,0.7214186432234773,0.9554361502959673,0.8255861079607335,0.228,Center Spot
0.902,-0.123,0.7676638433725529,1.02437185890671,0.6836506448256767,0.911,Edge Ring
-0.178,0.924,0.7415530594558993,0.969414548446356,0.8112922900904442,0.941,Edge Ring
-0.965,-0.241,0.7278183510683359,0.9083710639164206,0.6832771070743591,0.994,Edge Ring
-0.385,-0.512,0.44058456007011015,1.1880119000134055,0.47274652028060504,0.64,Donut
0.556,0.765,0.5549512494800563,1.2973714191855026,0.7407327717020006,0.946,Local Cluster
0.439,0.48,0.7304349360774492,1.2502823832262102,0.40551910137277236,0.65,Local Cluster
-0.0,0.022,0.013143623719833622,0.5612436988059929,0.04631674574667753,0.022,Random
0.595,0.567,0.7046415348659465,1.2111578728721493,0.5939823508787174,0.822,Local Cluster
-0.356,-0.917,0.7178303755429475,0.8875691567237753,0.5809227329021962,0.984,Edge Ring
-0.013,-0.011,0.0335037660215459,0.5310398775992278,0.04210995506982501,0.017,Random
0.466,0.646,0.5737868499946225,1.0230804064696744,0.6025822142884584,0.797,Local Cluster
0.384,0.231,0.07952114898424946,0.5207649153611025,0.2,0.448,Random
0.637,0.49,0.7959081457911925,1.1059318629192552,0.7029614892469593,0.803,Local Cluster
0.568,0.592,0.48644352688942716,0.71250462612976,0.6415135913112707,0.82,Local Cluster
-0.579,-0.627,0.06929178138341871,0.4517175613966926,0.03741636388002074,0.854,Random
0.188,-0.013,0.6299076519175654,3.1595784765398953,0.7115825741924916,0.189,Scratch
0.412,0.649,0.6732705103273773,1.6330082649358109,0.6554967433477467,0.769,Local Cluster
-0.068,0.125,0.12060224698105713,0.4545788202035642,0.02844571815164238,0.142,Random
0.644,0.47,0.6960962311858162,1.6847122722371177,0.6280634843565631,0.797,Local Cluster
0.098,-0.167,0.70547145026876,1.5370946361394677,0.7229650475603925,0.194,Center Spot
-0.278,0.131,0.00903890323240941,0.48605157725473136,0.03818838087723884,0.308,Random
0.274,0.387,0.012590190196581188,0.5633829599760233,0.054000183271045776,0.474,Random
-0.403,0.356,0.01003679158785392,0.45395407400109766,0.048428182024990905,0.538,Random
0.008,-0.018,0.926914775874844,1.4430714921469634,0.5156837007075155,0.02,Center Spot
-0.828,0.289,0.0006633609104128733,0.5601173513449464,0.059126434713728915,0.877,Random
0.533,0.555,0.8744641080986753,1.3546783434485592,0.47943663260605596,0.77,Local Cluster
0.005,0.064,0.8713559353552294,1.7450982204899497,0.6833474674029737,0.065,Center Spot
-0.597,0.734,0.03638429453407957,0.6229706493159533,0.04714813571951098,0.946,Random
0.541,0.347,0.8214467699520851,1.28319632915214,0.7857829306711197,0.642,Local Cluster
0.529,0.566,0.6727328442279632,0.8848280180277814,0.4805795994826926,0.774,Local Cluster
-0.948,-0.022,0.5582539105286897,1.0014714361415575,0.7440304800192228,0.948,Edge Ring
0.81,0.281,0.4979689509311737,2.423297259950456,0.4552724179856238,0.857,Scratch
-0.008,0.804,0.09120767074854365,0.6259149076777503,0.03821722323694762,0.804,Random
0.063,0.233,0.8360907186487361,1.8318391814030324,0.8806824462430439,0.242,Center Spot
-0.884,-0.415,0.6435332653451848,0.8358986601810359,0.3890871513828022,0.977,Edge Ring
-0.53,0.248,0.5775403797713805,0.8365053320958029,0.37762461014891713,0.585,Donut
-0.054,-0.939,0.7746449314380095,0.9581187537550376,0.5593737886472007,0.941,Edge Ring
0.144,-0.461,0.02876160712628455,0.4967226111947396,0.007795643939935093,0.483,Random
0.584,0.59,0.7864783998778878,0.8192127520616223,0.556605813883185,0.83,Local Cluster
-0.022,-0.073,0.7736578448656866,0.799130797169031,0.5102538141587845,0.076,Center Spot
0.036,0.184,0.7128763745654083,1.2907975851534794,0.7041445290376056,0.187,Center Spot
0.628,0.699,0.6868988473730318,1.3986051879841197,0.510725881071859,0.94,Local Cluster
0.432,0.317,0.470659428605746,1.2922657829263664,0.398240131968838,0.536,Donut
0.87,0.44,0.15414558496700878,0.5563753983148342,0.046702245422026785,0.975,Random
0.486,-0.193,0.47664289318693204,0.843505184077485,0.39295447897543484,0.523,Donut
-0.357,-0.076,0.6611077974509729,2.7809316109757507,0.7300729635993478,0.365,Scratch
0.119,-0.136,0.7894680106385608,1.1101766987343424,0.7594981022210624,0.18,Center Spot
0.429,0.511,0.5107652639180931,1.2889128431469743,0.676549564180935,0.667,Local Cluster
0.488,0.419,0.4581721346731358,0.9255379851903394,0.6225399130913797,0.644,Local Cluster
0.28,0.817,0.8123351021950606,0.8777038036025785,0.6014016876471366,0.863,Edge Ring
-0.295,-0.33,0.043015541786813855,0.372450008015334,0.0063667083796284775,0.443,Random
-0.159,0.387,0.5309623838140485,1.3135966208783751,0.5397564121186967,0.418,Donut
0.485,-0.426,0.5278332307922533,1.0383485265303327,0.29772316181411823,0.645,Donut
0.431,0.038,0.14851478467429594,0.2864435111733841,0.03745978278602744,0.433,Random
-0.045,-0.064,0.03781080609031467,0.6874205590172039,0.1012884525851095,0.078,Random
0.7,0.601,0.6732896250020771,0.4,0.6887813600845264,0.923,Local Cluster
-0.792,-0.565,0.8723171340191088,0.8293064895889044,0.5747870974589318,0.973,Edge Ring
0.477,0.486,0.6350345977961329,0.866392538600524,0.4496370341772228,0.68,Local Cluster
0.402,0.482,0.6833591716210669,1.3248834746887543,0.5279831228936885,0.627,Local Cluster
0.594,0.571,0.7439147958377986,1.4500785154957079,0.8048957151730496,0.824,Local Cluster
-0.574,0.079,0.5593792397640965,0.44778057254631043,0.46558990167872194,0.579,Donut
0.625,0.529,0.7725415221848898,1.3786743338978726,0.49913368905164085,0.819,Local Cluster
0.709,0.609,0.6719857465300993,1.0510805584668876,0.6673653339845893,0.934,Edge Ring
0.6,-0.13,0.007069451954710719,0.4646501710454529,0.07267152911723994,0.614,Random
0.627,0.45,0.6372227246316093,0.5807197242507794,0.6075378713933474,0.772,Local Cluster
0.662,0.572,0.5870707957991919,1.1935616234345012,0.6535454894560031,0.875,Local Cluster
0.102,-0.059,0.0019768947680224276,0.38449557372430065,0.07341700278240793,0.118,Random
-0.148,0.188,0.9557287476022014,1.2847799380856681,0.5981534158990962,0.239,Center Spot
0.616,0.531,0.5839651076610648,1.025820721007832,0.5302721044024591,0.814,Local Cluster
-0.566,0.05,0.5782345116375746,1.397672464626437,0.3915635503076277,0.568,Donut
0.024,0.185,0.05348416016612312,0.6479319774382004,0.03843393112669589,0.186,Random
-0.161,-0.029,0.6583423340938428,2.7589585969008508,0.460737390071833,0.164,Scratch
0.05,0.125,0.0633862403226113,0.43492730943813496,0.17919821014219892,0.134,Random
0.495,0.507,0.7223491607692417,0.8167857871087841,0.7745908451675677,0.709,Local Cluster
0.07,-0.014,0.8367955843883945,1.7747545835133804,0.7271845921043428,0.071,Center Spot
-0.303,-0.166,0.7087402909162103,2.392707099311107,0.5137582302002677,0.345,Scratch
0.738,0.633,0.724462006184774,1.3653609296882896,0.6646431134864264,0.973,Local Cluster
-0.646,-0.291,0.043720267298426395,0.6490962077215059,0.041986278396729006,0.708,Random
-0.077,-0.433,0.009808761578299054,0.877888044949196,0.0023846653103814803,0.44,Random
0.32,0.451,0.07355977472891763,0.693208384917533,0.05231586860608134,0.552,Random
0.28,0.608,0.7590026645513739,1.403554087256607,0.4270037481352131,0.669,Local Cluster
0.046,0.522,0.7006030630760132,0.9260219384623457,0.6146992308063206,0.524,Donut
0.087,-0.43,0.4732049381991135,1.1708730483514338,0.32118027485188794,0.438,Donut
-0.062,-0.054,0.7575215529159754,1.1700097638057092,0.7767180919639761,0.083,Center Spot
0.083,0.066,0.5296718221790276,3.008830471130598,0.3,0.106,Scratch
0.659,0.485,0.6017904408671431,1.538365731148252,0.7708095894556968,0.818,Local Cluster
0.607,-0.107,0.0344890302750294,0.5275902456154442,0.0028078379423435843,0.616,Random
0.025,-0.031,0.05467695714963793,0.5466073227770255,0.11148512465594163,0.039,Random
-0.389,0.22,0.07332497686786955,0.3335617227611291,0.008396542701816077,0.447,Random
-0.866,0.458,0.6695882476882911,0.623648609482064,0.8654323598460367,0.98,Edge Ring
0.201,0.456,0.5443974589707065,0.910887152163601,0.3174965689576853,0.498,Donut
-0.025,-0.178,0.8619061279413872,1.2024551029169253,0.709666211096736,0.18,Center Spot
0.035,-0.05,0.9146807927874367,1.7813530578070074,0.6594777153314657,0.061,Center Spot
0.959,-0.136,0.8347574440082097,0.8813198881010045,0.6802070206607701,0.968,Edge Ring
-0.5,-0.047,0.004127176589115196,0.47032255558835945,0.07116079919711912,0.502,Random
-0.039,-0.148,0.021093907054299033,0.45105521339609184,0.2,0.153,Random
0.514,0.552,0.5468691634064607,0.7347716189415875,0.5128661034364157,0.754,Local Cluster
0.417,-0.815,0.7865095964612966,0.92585025387941,0.6242492603840188,0.915,Edge Ring
0.56,0.388,0.5974690950655224,0.31180857273091134,0.4423395900700303,0.681,Donut
-0.398,-0.374,0.10002707697614477,0.6226289901914719,0.04549343072309802,0.546,Random
-0.405,-0.799,0.6524315259854825,0.7814990802736032,0.5579988486201026,0.896,Edge Ring
-0.505,-0.056,0.03359619271567985,0.527509899953798,0.01387094604954095,0.508,Random
-0.053,-0.064,0.7796637172579546,1.5992184814135715,0.5661642738098009,0.083,Center Spot
0.146,0.12,0.8133115543182637,1.4670813834380336,0.720695696938831,0.189,Center Spot
0.593,0.154,0.758409484090988,2.36563056351345,0.5714173153355956,0.612,Scratch
0.435,0.036,0.5639760717205153,2.3852772212235798,0.5222053192366712,0.437,Scratch
0.467,0.193,0.5752990969605438,1.2251560781530393,0.46675922415946663,0.506,Donut
-0.093,-0.02,0.6902201132095553,1.6493952056679049,0.563437865785986,0.095,Center Spot
-0.093,0.195,0.04100049939994809,0.25989845987369625,0.015013190017387016,0.216,Random
0.057,0.254,0.06122981662300443,0.4208537047096833,0.007255119538384471,0.261,Random
0.638,0.632,0.95,1.3527765914893852,0.6729498399121637,0.898,Local Cluster
-0.085,0.05,0.03545245557433251,0.6504725001198718,0.0016434093906436634,0.099,Random
0.063,-0.223,0.7670622225881748,1.357220851122019,0.7875530155698487,0.232,Center Spot
0.635,0.619,0.7711608846417151,0.340363387679939,0.7159731658494466,0.887,Edge Ring
0.592,0.384,0.5843974926670431,1.1797096755506826,0.7769710460947223,0.706,Local Cluster
-0.304,-0.8,0.7736085315586607,0.6146361983021041,0.6715215890609773,0.856,Edge Ring
0.403,0.478,0.45487965112964407,1.6376172299769673,0.5893218315011007,0.625,Local Cluster
0.901,0.288,0.8258219100141213,0.971705432429115,0.7602173276435222,0.946,Edge Ring
-0.675,-0.649,0.6854084616771243,0.8789589321967602,0.7974469637663393,0.936,Edge Ring
0.588,-0.113,0.07995772682209999,0.4876822507209252,0.1073104980708956,0.599,Random
-0.1,-0.208,1.0,2.2158776804092417,0.7599620956652539,0.231,Center Spot
-0.73,-0.68,0.9098980011426752,0.9028929449522214,0.7163728207795667,0.998,Edge Ring
-0.808,-0.215,0.5877661166442661,1.8703195307410385,0.4661282882328149,0.836,Scratch
-0.017,0.024,0.07384736904998215,0.8188101352963298,0.012204194045171049,0.029,Random
0.802,0.275,0.7031075109767676,3.07442633537275,0.524132349191168,0.848,Scratch
0.712,0.718,0.6848592973969317,1.257962790568599,0.647057493256388,1.011,Local Cluster
0.346,0.619,0.7160829814210217,1.1629508177571328,0.6238813462317223,0.709,Local Cluster
-0.128,-0.89,0.7225451491230419,0.9253081074855329,0.6046688601902668,0.9,Edge Ring
0.52,0.373,0.5960116031119937,0.860158140157951,0.5972493226589252,0.64,Local Cluster
-0.947,-0.023,0.6767216595723688,0.9840474465166568,0.7277805745878987,0.948,Edge Ring
0.537,-0.035,0.4594785370102961,0.9656938859798306,0.41192672713015194,0.538,Donut
0.308,0.13,0.03836494590948808,0.6304847443818737,0.030417133501626253,0.334,Random
-0.199,0.1,0.7130983379717647,1.6269082964971329,0.7027963793728353,0.223,Center Spot
-0.426,0.413,0.4901962867785091,0.6999922296344236,0.42520062058682817,0.594,Donut
-0.387,0.343,0.5197451257435877,0.9698762349864855,0.4510716580596473,0.517,Donut
-0.078,-0.125,0.024020411837951814,0.50225052405755,0.0018794902009371742,0.148,Random
0.48,-0.301,0.54952296543912,0.8957723261429825,0.5386009186543023,0.566,Donut
0.788,0.264,0.5120747028770367,2.5921098451293574,0.6266062375016438,0.831,Scratch
0.352,0.395,0.023844156163228162,0.6377549706747873,0.000906864451554853,0.529,Random
0.466,0.589,0.634198099715951,1.6282638847587458,0.5161020842216046,0.751,Local Cluster
0.295,0.89,0.8229912855674114,0.8510305921359856,0.697868052102868,0.938,Edge Ring
0.69,0.754,0.7376089087827735,0.8596553947221715,0.49645549312933424,1.022,Local Cluster
0.428,0.766,0.6363794082563828,1.737244444028926,0.5981253798281448,0.878,Local Cluster
-0.099,0.224,0.004612546156591961,0.6092187071377547,0.10005750491689738,0.244,Random
-0.191,-0.06,0.6811565099499264,2.561458123019208,0.6299543381627808,0.2,Scratch
-0.136,0.88,1.0,1.068488532845326,0.6200944194095994,0.89,Edge Ring
-0.582,0.107,0.07628775408955384,0.4230019806038231,0.04241902931425814,0.592,Random
0.414,-0.459,0.49665358562157313,1.3426178777202116,0.5219133561883711,0.618,Donut
0.417,0.512,0.6328556765899956,0.7216347957141079,0.479055945288377,0.661,Local Cluster
0.067,0.664,0.4971422697086722,1.285244222645451,0.5171314698586489,0.667,Donut
-0.033,0.48,0.11084330468954676,0.6295974951550881,0.018689735236257974,0.481,Random
-0.401,-0.838,0.7131011261570067,1.05511794589949,0.6140573517805762,0.929,Edge Ring
-0.06,-0.905,0.6690062024949025,0.8978595305490541,0.774877776367261,0.907,Edge Ring
0.43,0.56,0.024414908701558026,0.2701218707376218,0.026495469240404097,0.706,Random
-0.2,-0.064,0.6529510818859607,1.9276798887710727,0.45462952990244443,0.21,Center Spot
0.095,-0.62,0.5234212398014266,1.0179041496192054,0.41887749396098545,0.627,Donut
-0.636,-0.627,0.7026107935786916,1.054199266575536,0.5733660840419824,0.893,Edge Ring
0.981,0.044,0.7845675868870323,0.7496422254295607,0.7536790699328043,0.982,Edge Ring
-0.001,0.004,0.0038567916408345864,0.4892254766025682,0.0933753859785614,0.004,Random
-0.644,-0.243,0.5935329922474724,0.8972662543498554,0.23480401107256452,0.688,Donut
-0.079,0.945,0.6444768448563052,0.8808080928446317,0.8318937027287223,0.948,Edge Ring
-0.12,0.573,0.6107379657452565,1.3189176105662574,0.45328816674842604,0.585,Donut
0.538,-0.328,0.07741788788011021,0.6216932585576369,0.06890103175417371,0.63,Random
0.854,-0.048,0.02728126552161663,0.3609136378614455,0.010054371358533348,0.855,Random
0.179,-0.031,0.2794823756566415,0.3126675427660105,0.12532381831907288,0.182,Random
0.123,0.107,0.023607678636588893,0.6534167647526017,0.01135590131165723,0.163,Random
0.933,0.239,0.8237964647923953,0.7676962783633174,0.664759402280869,0.964,Edge Ring
0.671,-0.467,0.022821640213888657,0.6913055738271854,0.0025904188797997336,0.818,Random
-0.692,0.006,0.009324538497536587,0.3373378212584529,0.05824914865692024,0.692,Random
0.421,0.086,0.5587562210018672,3.054262311903315,0.5392929842394194,0.429,Scratch
